Clase,Loudness,Duration,Spectral Energy,Zero Crossing Rate,Spectral Centroid,Spectral Bandwidth,Spectral Contrast,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20
ARTIFICIAL,-34.74558639526367,7.56,0.09396305,0.1182763971434049,2250.7067255329553,2053.5303792327354,24.03859464790253,-267.432861328125,74.3292236328125,-4.170341968536377,17.452611923217773,1.1345356702804565,-21.42620086669922,-11.3018159866333,-6.500400543212891,-19.51396369934082,-5.51170539855957,-14.196425437927246,-4.341358184814453,-8.435014724731445,1.9330050945281982,-7.274957656860352,-8.32446002960205,-2.1602718830108643,-8.068583488464355,-8.955702781677246,-0.7906185984611511
ARTIFICIAL,-29.490538675482338,7.56,0.095290296,0.19331743673312884,3372.979239397413,2981.7880101520655,16.952570137288227,-179.54614566388642,42.581054631993204,5.050673873423487,6.885881572390004,1.23771002695088,-15.042755578816351,-10.761615531214169,-7.989651252544097,-13.086413263789566,-7.738466053308168,-8.071500429101164,-7.3419452361394555,-4.9609693650796975,-1.2019180111192806,-6.2455280391019725,-5.865331033425628,-3.4756291906398413,-6.434197341795393,-7.682353364110326,-3.488709046790485
ARTIFICIAL,-35.16027069091797,7.56,0.06163104,0.11635322804831288,2308.844831332258,2229.6866841031597,24.76297459665672,-286.7621765136719,74.4602279663086,-3.997152805328369,14.222323417663574,-0.5217835307121277,-23.824556350708008,-13.35082721710205,-6.699246406555176,-20.80411148071289,-5.312359809875488,-14.656206130981445,-5.044873237609863,-8.945125579833984,2.242086410522461,-7.997710704803467,-7.835929870605469,-2.3994593620300293,-7.472061634063721,-9.439057350158691,-0.7845531702041626
ARTIFICIAL,-33.85757064819336,7.56,0.09577105,0.1165659149731595,2215.2536605085666,2037.8045954460076,24.070737471948835,-262.70172119140625,75.75177001953125,-4.770657539367676,18.41513442993164,1.0082786083221436,-21.485822677612305,-11.251246452331543,-6.652749538421631,-20.065614700317383,-5.960578918457031,-14.601118087768555,-4.63766622543335,-8.665263175964355,1.808233380317688,-7.220691680908203,-8.64797592163086,-2.061227560043335,-8.065455436706543,-9.126054763793945,-0.89628666639328
ARTIFICIAL,-34.745079040527344,7.56,0.06656327,0.1104713861196319,2226.502564540434,2234.758672328872,25.138803424230705,-279.6251220703125,77.47686767578125,-7.4767632484436035,15.153488159179688,-3.0648791790008545,-27.316936492919922,-11.968151092529297,-9.718780517578125,-19.13367462158203,-6.308610916137695,-14.398920059204102,-3.8076212406158447,-7.106711387634277,1.7537373304367065,-11.341187477111816,-6.210477828979492,-4.021551132202148,-10.825786590576172,-6.486027240753174,-2.807971239089966
ARTIFICIAL,-46.817501068115234,7.56,0.04904008,0.15096727616947853,2450.3921124537383,2073.1260952554912,19.922809678367923,-346.0851135253906,70.23849487304688,-2.5074148178100586,27.095151901245117,-6.889766693115234,4.91947078704834,-11.503880500793457,-2.657700538635254,-5.707494735717773,-0.7321237325668335,-7.622592926025391,-2.594256639480591,-10.337400436401367,4.771847724914551,-8.972382545471191,-2.462428569793701,-7.777220726013184,-2.412386894226074,-12.971595764160156,1.003570318222046
ARTIFICIAL,-36.20165527265281,7.56,0.051345766,0.2727155626917178,3929.426815293378,3054.4009208360244,15.56095434392059,-209.2037025348835,35.58486931090584,9.404866793931593,10.823331264348825,1.5906315406265803,-1.1431326043291483,-6.196733234328451,-5.126856521957528,-3.05039428755569,-3.071900416369602,-4.637525618945511,-4.04592648330991,-4.91140902536084,-0.36037249296015816,-3.8939695872068367,-6.074108324188587,-3.5838396501050274,-5.205508678995933,-6.726103251040433,-2.9650296634323956
ARTIFICIAL,-48.66822814941406,7.56,0.033035707,0.1480585578029141,2611.998372065185,2301.3632925185925,21.135313350296563,-381.60986328125,71.4705581665039,-1.340029239654541,27.052839279174805,-6.548052787780762,2.7523555755615234,-12.545073509216309,-3.290544271469116,-5.922605037689209,-1.775100827217102,-8.29690170288086,-2.809918165206909,-10.613179206848145,4.920077800750732,-9.69206714630127,-2.7912559509277344,-7.944948673248291,-2.9417476654052734,-13.979389190673828,1.148624062538147
ARTIFICIAL,-46.32478332519531,7.56,0.049449243,0.15057934720092025,2399.1069289759794,2040.649893769188,19.939496554042147,-342.93768310546875,71.94476318359375,-3.225229024887085,26.950220108032227,-7.164201736450195,5.2386579513549805,-11.272801399230957,-3.02871036529541,-5.282089710235596,-0.8830133080482483,-7.410126209259033,-3.0796921253204346,-10.324594497680664,4.517066478729248,-8.769111633300781,-2.82918643951416,-7.897618770599365,-2.296332836151123,-13.10008430480957,0.8774029612541199
ARTIFICIAL,-47.205528259277344,7.56,0.035222195,0.15718013084739263,2736.2384827741844,2405.212821951918,23.929892428152794,-357.15484619140625,70.27561950683594,0.652319610118866,21.954334259033203,-7.27077054977417,0.22435849905014038,-12.444955825805664,-4.857195854187012,-4.097527027130127,-3.670586109161377,-7.141605377197266,-6.201922416687012,-7.049132347106934,1.879485011100769,-9.449132919311523,-5.013709545135498,-6.727927207946777,-6.003481388092041,-10.443564414978027,-0.10163678228855133
REAL,-22.7954158782959,7.56,0.15714474,0.052809264762269936,1270.6993450576224,1552.0677422936287,22.12270241771963,-138.03323364257812,158.15708923339844,-22.249605178833008,51.9935302734375,-5.017286777496338,23.98250961303711,-16.998367309570312,4.717544078826904,-1.9526948928833008,1.9990136623382568,-7.4616217613220215,1.5065666437149048,0.17923811078071594,-4.112869739532471,-1.7198371887207031,-2.855187177658081,-3.5186145305633545,-3.33715558052063,-2.7572267055511475,-2.9025211334228516
