,Unnamed: 0,0_Area under the curve,0_Autocorrelation,0_Centroid,0_Mean absolute diff,0_Mean diff,0_Median absolute diff,0_Median diff,0_Negative turning points,0_Neighbourhood peaks,0_Positive turning points,0_Signal distance,0_Slope,0_Sum absolute diff,0_Zero crossing rate,sujeto,inicio_ventana,fin_ventana,duracion_ventana,#cortes,cortes_por_segundo,labels
1,1,429.4057550316255,8.0,398.8943498104858,0.0587581283874235,-0.0001794440088385,0.0589792512112737,-0.0072218765031969,32.0,31.0,32.0,1001.3138484946896,-0.0004378629272324,58.699370259036094,44.0,andres,9.2,14.2,5.0,32,6.4,1
2,2,443.07980567651055,8.0,465.0837675981466,0.0770060973698078,-0.0001143526054734,0.0741587068772638,0.0061933592738892,35.0,34.0,34.0,1003.0366334411056,-0.000697239917063,76.92909127243804,57.0,andres,14.2,19.2,5.0,34,6.8,0
3,3,544.4969419700474,7.0,537.0800795006268,0.1055902980054619,-0.0005905395691858,0.1088000300590054,-0.0012237958773992,34.0,34.0,35.0,1006.1510968282546,0.00046365181182,105.48470770745648,69.0,andres,19.2,24.2,5.0,35,7.0,0
4,4,524.3616027399062,8.0,469.1643096466492,0.0931467745134209,0.0010200674280098,0.0946937434228984,0.0029070601498195,33.0,33.0,34.0,1004.6175227442344,5.299504933033367e-05,93.05362773890757,61.0,andres,24.2,29.2,5.0,34,6.8,1
5,5,452.4440128505647,10.0,511.98929835565656,0.0612200153202275,-0.0005176005730072,0.0589374138264044,-0.0022197726753594,33.0,32.0,33.0,1001.5008679895612,-0.0007247302917786,61.15879530490732,43.0,andres,29.2,34.2,5.0,33,6.6,1
6,6,463.6908511223155,8.0,528.3286350183305,0.0843171129935403,-0.0001895930163042,0.0869688851885437,-0.002373815321813,33.0,33.0,33.0,1003.5832553195976,0.0005093303050465,84.23279588054683,64.0,andres,34.2,39.2,5.0,33,6.6,0
7,7,423.5699308391965,8.0,472.8787544493901,0.0700268681091783,0.0007849368113279,0.0686439257453137,-3.0257645094011743e-05,33.0,33.0,33.0,1002.315149267195,-0.0001125027271416,69.95684124106918,55.0,andres,39.2,44.2,5.0,33,6.6,0
8,8,440.9480510041331,8.0,612.317111260034,0.0752037803440942,0.000167970020316,0.0759081428101388,0.0006980438173408,33.0,32.0,34.0,1002.6688714252772,0.0006751264225849,75.12857656375013,56.0,andres,44.2,49.2,5.0,34,6.8,0
9,9,450.4588881111464,8.0,504.9117561199808,0.0767448446703726,-0.000444945486201,0.0773968737736505,-0.0036602817116719,34.0,32.0,34.0,1002.9043305776844,-0.000243042115463,76.66809982570226,54.0,andres,49.2,54.2,5.0,31,6.2,1
10,10,407.5845769857436,8.0,451.281599775238,0.0670069622461785,0.0005605395095248,0.0655495115534799,-0.0073537504604515,32.0,31.0,31.0,1002.0196674422696,0.0003083566970148,66.93995528393239,55.0,andres,54.2,59.2,5.0,31,6.2,0
